personId,eventId,best,worldRank,continentRank,countryRank
2013WALT01,333bf,7715,457,165,21
2016KAMA04,333bf,7725,458,88,69
2011LAYE01,333bf,7729,459,158,2
2012KALH01,333bf,7758,460,166,22
2013MOLI04,333bf,7772,461,89,4
2013FRON01,333bf,7795,462,167,3
2013ZHAO17,333bf,7796,463,159,66
2015SLEA01,333bf,7811,464,90,70
2016TARI02,333bf,7825,465,27,1
2006GUZE01,333bf,7839,466,168,21
2010ESTU01,333bf,7857,467,169,14
2008UENO01,333bf,7881,468,160,20
2014LING03,333bf,7897,469,161,67
2014HERR08,333bf,7911,470,170,10
2011DWYE02,333bf,7934,471,91,71
2018SUNC02,333bf,7937,472,162,68
2016BROD01,333bf,7945,473,171,23
2012BUBE01,333bf,7946,474,172,5
2017PODZ01,333bf,7950,475,173,7
2011WELC01,333bf,7968,476,92,72
2010CHAN20,333bf,7984,477,163,8
2019CAIW01,333bf,8013,478,164,69
2013ANHN01,333bf,8022,479,165,1
2015SERO02,333bf,8030,480,174,22
2008BERG04,333bf,8039,481,175,11
2015BALO02,333bf,8059,482,166,12
2015FEDE01,333bf,8069,483,176,24
2007DANY01,333bf,8108,484,167,70
2016HARA02,333bf,8140,485,177,3
2014ZAKR01,333bf,8145,486,178,23
2010AMBR01,333bf,8146,487,93,73
2017MAND10,333bf,8177,488,168,1
2016AQUI02,333bf,8198,489,169,13
2009SIEW02,333bf,8212,490,170,9
2018BLAN01,333bf,8215,491,94,1
2007MINH01,333bf,8220,492,171,10
2021LANG01,333bf,8227,493,179,15
2007FIDE01,333bf,8235,494,28,11
2012CHOW03,333bf,8238,495,95,12
2016QUIN01,333bf,8246,496,96,74
2020DWOR01,333bf,8261,497,180,24
2011ZHAN24,333bf,8266,498,172,71
2014BULU01,333bf,8275,499,97,5
2016BRIS02,333bf,8286,500,29,12
2012KROK01,333bf,8289,501,181,8
2005AKKE01,333bf,8292,502,182,3
2015BYEO01,333bf,8299,503,173,11
2007HUGH01,333bf,8301,504,98,75
2017ABDU06,333bf,8316,505,99,13
2016DUMA01,333bf,8324,506,183,9
2013FERR05,333bf,8330,507,184,1
2017AIPK01,333bf,8337,508,174,1
2010CHUN04,333bf,8360,509,175,3
2018FANG10,333bf,8377,510,176,72
2013LEED01,333bf,8401,511,177,4
2015KANY01,333bf,8416,512,178,73
2013LOYA01,333bf,8422,513,100,6
2014HANT01,333bf,8426,514,179,74
2018SILV28,333bf,8433,515,30,13
2014WENW01,333bf,8435,516,180,5
2018NADZ01,333bf,8451,517,181,17
2015SOAR01,333bf,8472,518,182,16
2010RAIH01,333bf,8514,519,183,18
2014ISHI03,333bf,8539,520,184,21
2017TRAN24,333bf,8555,521,185,16
2016LIMI01,333bf,8564,522,185,75
2018CREE01,333bf,8565,523,101,76
2015MIKH04,333bf,8569,524,186,2
2016HORV04,333bf,8573,525,186,6
2013WUJI03,333bf,8596,526,187,76
2015DORN02,333bf,8598,527,102,14
2014SEBA01,333bf,8600,528,187,17
2007KORZ01,333bf,8619,529,188,25
2014RENW01,333bf,8631,530,188,10
2018MARI08,333bf,8639,531,189,18
2014SONG08,333bf,8651,532,189,77
2011SZAT01,333bf,8666,533,190,26
2014CHER05,333bf,8676,534,191,18
2012VAJD01,333bf,8695,535,192,2
2011NATH02,333bf,8712,536,103,77
2015SANT41,333bf,8733,537,31,14
2014NUNE05,333bf,8747,538,193,11
2007OOBA01,333bf,8753,539,190,22
2012HOLE01,333bf,8755,540,191,4
2007HABE01,333bf,8764,541,194,25
2016WATA01,333bf,8772,542,192,23
2014MILE01,333bf,8772,542,195,27
2016WIJA01,333bf,8784,544,193,19
2016AMBE02,333bf,8787,545,196,2
2007BERN01,333bf,8807,546,197,7
2015ROSE01,333bf,8829,547,104,78
2007LUCH02,333bf,8839,548,194,78
2012MCKE01,333bf,8840,549,198,2
2011LING02,333bf,8860,550,195,14
2014ZHAN11,333bf,8860,550,195,79
2008FUSK01,333bf,8888,552,199,28
2018JONE05,333bf,8888,552,199,19
2013ZOLL01,333bf,8890,554,105,79
2018PARA15,333bf,8892,555,106,80
2010HIDA01,333bf,8926,556,197,20
2018IMTI01,333bf,8953,557,198,1
2017PIRE01,333bf,8953,557,32,15
2003HARD01,333bf,8959,559,107,81
2009POOK01,333bf,8973,560,199,3
2013OPOK01,333bf,8985,561,201,29
2009BLAI01,333bf,8992,562,108,82
2016HOCH02,333bf,9009,563,200,6
2012DELI01,333bf,9034,564,109,83
2014HARN01,333bf,9040,565,202,3
2013TAKE01,333bf,9048,566,201,24
2016DENG16,333bf,9062,567,202,11
2014KHAR01,333bf,9066,568,203,17
2004CHAN04,333bf,9066,568,110,84
2012NALH01,333bf,9076,570,204,18
2015SETT01,333bf,9085,571,203,6
2011CHEN19,333bf,9086,572,205,80
